STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-06,0.391,1.273
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-07,0.376,1.494
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-08,0.36,1.693
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-08,0.571,2.167
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-09,0.622,3.824
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-10,0.643,3.411
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-11,0.736,3.474
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-12,0.777,4.308
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-13,0.816,4.368
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-14,0.826,3.835
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-15,0.761,2.99
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-16,0.762,2.536
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-17,0.656,3.771
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-18,0.632,4.355
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-19,0.592,3.023
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-20,0.51,3.288
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-21,0.487,3.283
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-22,0.549,3.817
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-23,0.621,4.333
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-24,0.676,5.653
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-25,0.729,5.814
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-26,0.719,5.172
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-27,0.716,4.383
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-28,0.723,3.426
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-29,0.655,2.427
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-30,0.55,1.717
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-01-31,0.35,1.209
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-01,0.338,0.97
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-02,0.357,0.803
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-03,0.309,0.846
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-04,0.419,0.954
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-05,0.573,1.673
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-06,0.577,2.655
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-07,0.67,6.19
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-08,0.855,10.444
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-09,0.861,12.597
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-10,1.114,12.035
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-11,1.37,10.507
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-12,1.357,8.853
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-13,1.082,5.512
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-14,0.93,2.815
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-15,0.736,1.571
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-16,0.851,1.649
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-17,0.892,2.04
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-18,0.959,3.102
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-19,0.86,2.988
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-20,0.774,3.557
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-21,0.881,8.431
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-22,0.865,15.208
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-23,0.783,14.087
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-24,0.584,7.948
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-25,0.597,5.764
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-02-26,0.556,3.634
